Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
SAY for thank YOU,SAY for thank YOU,Uni kukka,2/22/2023,JPK632301501,"3,115",24.7,"2,814",3,63,,"29,17,21,339","10,78,955",,,,,,1,,,,,,,,,,0
The Bigger Picture,My Turn (Deluxe),Lil Baby,2/28/2020,USUG12001660,"3,120",24.7,"25,41,30,819","82,768","1,25,70,826",56,"26,87,97,796","32,73,095","39,383","1,48,72,630","10,63,66,054","35,50,397",54,"66,416",95,11,"43,042",34,"9,39,37,303","37,538",,"13,88,736",,1
Cash In Cash Out,Cash In Cash Out,Pharrell Williams,06-10-2022,USSM12202926,"3,121",24.7,"17,25,89,732","67,514","1,58,46,637",61,"2,19,90,862","3,43,936","1,28,416","4,24,92,440","33,87,47,583","77,899",21,"33,359",4,11,"1,79,862",2,"38,74,071","4,128",,"5,17,365",,1
Off The Grid,Donda,Kanye West,8/29/2021,USUM72116304,"3,118",24.7,"26,69,27,787","1,05,664","1,48,49,590",62,"3,97,69,157","5,74,676","13,989","1,13,19,222","9,37,86,735","3,33,98,158",27,"8,377",74,11,"45,143",10,"17,51,851","2,673",,"6,27,751",,0
EL TONTO,EL DRAGï¿½,Lola Indigo,4/13/2023,ESUM72200152,"3,122",24.7,"15,31,05,498","29,888","1,22,88,087",63,"4,72,88,100","2,90,046","1,68,400","2,28,98,965","28,65,15,216","1,02,61,483",31,"12,333",,19,"1,62,668",23,"2,969",7,,"3,61,203",,0
Sex on Fire,Balance Le Son,Kings of Leon,01-01-2008,USRC10800300,"3,116",24.7,"1,42,70,50,913","2,65,075","10,18,32,484",79,"68,39,04,891","34,02,940","1,25,835","5,43,78,617","39,10,21,166","47,93,21,742",205,"1,99,456",144,161,"11,07,380",74,"16,07,14,276","4,21,796",,"81,99,199",,0
Friend of a Friend,Friend of a Friend (ft. M1KE),Mï¿½ï¿½lod,3/28/2023,GX4LG2101513,"3,126",24.7,,5,"6,700",,"27,48,62,350","6,04,907",,,,"2,66,64,062",,8,,,,,,,,12,,1
Bangarang (feat. Sirah),Bangarang EP,Skrillex,12/23/2011,USAT21104243,"3,123",24.7,"47,44,20,154","97,650","1,64,87,753",64,"1,12,27,89,221","87,47,570","2,27,317","12,05,48,747","1,38,36,91,192","15,41,99,082",89,"10,895",24,55,"3,95,448",21,"7,06,82,103","3,79,203","4,16,40,906","51,98,362",,1
A Cold Sunday,A Cold Sunday,Lil Yachty,02-02-2024,USUG12400010,"3,128",24.7,"5,67,89,868","12,822","29,75,994",,"16,11,737","30,207",,,,,9,323,211,3,"19,242",10,"11,33,744",842,,"2,80,964",,1
Raindrops (Insane) [with Travis Scott],HEROES & VILLAINS,Metro Boomin,12-02-2022,USUG12208785,"3,124",24.7,"19,74,77,305","62,497","78,90,327",68,"1,87,253","3,826","3,573","13,84,419","1,93,17,127",,6,58,,3,"8,934",,"13,45,895","1,336",,"2,07,627",,1
Weekend,Weekend,Ashley Mehta,9/16/2022,SGB502250429,"3,130",24.7,"5,46,633",253,"17,668",28,"98,636","1,771","23,00,556","1,48,06,470","27,67,63,604",,,22,,,,,,,,"14,823",,1
Touching The Sky,Touching The Sky,Rauw Alejandro,5/23/2024,USQX92401920,"3,127",24.7,"1,01,00,645","1,174","5,09,56,233",,"53,60,562","1,11,835",,,,"23,04,539",50,"1,400",4,40,"5,09,658",32,"2,74,196",33,,"27,382",,0
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,01-11-2019,GBARL1801703,"3,119",24.7,"67,03,19,557","1,00,046","2,73,59,207",65,"43,26,16,080","23,55,880","10,926","26,01,510","2,90,55,589","40,96,91,633",135,"1,38,101",11,141,"14,28,820",37,"10,78,617","6,621",,"32,382",,0
Tap In,Tap In,Saweetie,6/17/2020,USWB12001096,"3,143",24.6,"24,37,03,179","39,210","1,78,14,271",60,"13,40,77,658","15,46,430","21,01,619","26,26,01,735","2,41,69,11,466","22,58,162",73,"58,076",648,20,"12,587",16,"7,74,00,515","33,607",,"15,98,350",,1
Vacation,Vacation,Dirty Heads,08-11-2017,USDPK1700118,"3,147",24.6,"25,34,90,559","78,414","95,39,906",20,"15,70,50,046","22,49,067","47,15,901","38,90,10,308","4,61,07,99,658","30,57,202",16,"8,106",59,9,"3,638",3,"7,05,79,414","71,144",,"27,70,196",,1
Gitana (feat. Bryartz),Los Gangsters Tambien Lloran,Pablo Chill-E,3/29/2024,USLD91757183,"3,151",24.6,"4,73,29,404","3,965","6,22,34,428",77,"1,54,52,676","90,162",,,,"2,04,03,072",2,185,,5,"17,17,735",2,"2,149",3,,"1,25,245",,1
Una Vez,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030960,"3,141",24.6,"56,38,26,995","75,780","1,80,73,624",71,"34,95,16,218","23,23,510","5,875","57,07,207","4,40,61,028","92,48,014",33,"1,695",,5,"1,469",8,"5,06,80,752","6,870","40,59,598","11,71,863",,1
Slumber Party (feat. Princess Nokia),DEMIDEVIL,Ashnikko,06-10-2021,GBAYE2000706,"3,145",24.6,"34,50,69,681","77,169","1,44,35,083",67,"11,20,87,139","19,39,007","3,33,925","25,79,17,924","1,65,26,50,346","4,55,056",29,"1,616",32,15,"28,298",1,"1,03,78,177","20,145",,"21,49,498",,1
PARTIDO EN DOS,PARTIDO EN DOS,La ï¿½ï¿½nica Trop,2/24/2024,ES71G2405104,"3,155",24.6,"1,04,59,553",360,"12,42,873",65,"5,32,98,480","2,30,317",,,,"28,12,991",2,"2,012",,1,"26,058",,,,,"93,465",,0
Piya Chhod Dihin Na,Piya Chhod Dihin Na,Pawan Singh,04-11-2024,INS182401138,"3,136",24.6,"15,40,667",28,"1,77,865",,"3,56,69,549","3,89,761",,,,,,,,,,,,,,,,0
CASE 143,MAXIDENT,Stray Kids,10-07-2022,US5TA2200101,"3,149",24.6,"19,52,60,412","19,052","62,39,806",66,"18,89,78,133","37,24,486","2,34,802","23,30,63,325","1,39,72,16,002","19,13,46,183",9,"1,742",134,3,"23,299",33,"13,50,078","2,761",,"5,05,263",,0
Give It To Me - Full Vocal Mix,Give It to Me (Full Vocal Mix) - Single,Matt Sassari,10/22/2021,GBHAD2102631,"3,153",24.6,"47,64,76,352","98,305","7,97,58,106",78,"7,80,251","8,207","2,600","8,72,891","1,22,95,262",,16,"8,048",,26,"4,82,266",,"10,227",,,"2,71,088",,0
Slow Dancing,Layover - EP,V,09-08-2023,USA2P2339031,"3,148",24.6,"37,14,63,000","9,688","1,79,34,921",77,"5,53,64,757","27,75,274","2,388","8,46,113","42,88,273","16,69,72,687",9,"2,630",14,10,"2,83,130",1,"21,78,688",414,,"2,99,318",,0
F**kin' Problems,F**kin' Problems,A$AP Rocky,10/24/2012,USRC11201220,"3,138",24.6,"80,32,86,487","1,57,238","3,68,20,510",70,"37,64,03,733","26,72,337","10,581","61,81,144","4,94,65,552","14,76,12,858",79,"22,371",,55,"3,97,602",24,"51,45,90,007","6,72,943",,,,1
Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),Russ,7/22/2022,QZQAY2214416,"3,135",24.6,"6,57,86,757","28,190","22,51,668",56,"2,77,54,329","2,16,369","14,02,413","1,12,52,716","20,38,63,372","10,56,32,102",2,"9,490",493,3,"15,604",,"1,75,97,340","1,904",,"2,42,217",,1
Vamos Para Arriba,Vamos Para Arriba,Junior H,06-03-2022,USWL12200487,"3,156",24.6,"22,34,22,665","24,041","64,04,217",66,"23,65,83,955","9,23,052","68,700","58,85,095","6,06,53,564",,8,,,,,2,"1,68,98,793","3,407",,"6,07,267",,1
Best Day Of My Life,American Authors - EP,American Authors,01-01-2013,USUM71302187,"3,140",24.6,"99,95,25,686","1,47,511","7,61,37,901",74,"34,97,53,696","33,26,207","1,61,202","3,28,37,321","32,94,70,084","6,15,12,223",109,"74,556",541,55,"1,43,084",35,"59,57,09,385","3,33,439",,"83,66,702",,0
One Man Band,Old Dominion,Old Dominion,1/18/2019,USRN11800147,"3,132",24.6,"43,92,81,048","44,726","1,56,23,830",75,"22,53,36,788","12,88,065","57,055","74,79,129","6,07,81,778","43,58,69,854",30,"24,352",155,8,"20,533",16,"39,35,20,749","1,80,849","7,76,333","17,50,559",,0
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Garmi (From ""Street Dancer 3D"")",Badshah,12/26/2019,INS181905948,"3,154",24.6,"12,92,83,318","9,852","52,86,439",57,"83,52,13,852","49,72,865","2,27,900","81,82,757","7,14,82,445","23,32,18,560",12,"2,080",,,,8,,,,"2,00,527",,0
Vai Novinha Ah Ah Ah,Ritmo dos Crias,Dyamante DJ,5/25/2023,BCWV12300010,"3,144",24.6,"11,09,60,415","19,488","93,34,970",56,"2,44,59,499","2,97,749","6,49,200","15,71,46,491","2,16,18,32,887",,9,401,,12,"3,63,903",2,,,,,,1
Saiyan,Saiyan,Heuss L'enfoirï¿,06-02-2023,FR1DC2300200,"3,137",24.6,"10,74,98,014","21,969","45,62,733",61,"7,24,43,764","3,87,673",,182,"3,247","19,63,03,575",15,"9,237",,12,"49,38,235",21,,,"3,95,699","8,78,245",,1
Heart Attack,Demi,Demi Lovato,01-01-2013,USHR11334249,"3,134",24.6,"82,65,93,536","1,01,501","3,10,34,827",74,"89,80,24,937","75,20,556","2,94,053","10,03,68,132","79,27,08,732","52,88,95,639",35,"10,217",80,36,"81,684",17,"28,33,40,326","4,96,904",,"50,72,778",,0
Parï¿½,Parï¿½,Ingratax,07-09-2021,MXB952100097,"3,142",24.6,"52,60,25,120","46,184","91,02,818",67,"16,09,59,114","27,63,162","10,41,041","24,28,23,183","2,20,92,00,556","2,01,76,409",36,"4,952",,2,"9,765",20,"24,69,664","1,944",,"8,19,536",,0
Beer Never Broke My Heart,Beer Never Broke My Heart,Luke Combs,05-08-2019,US6XF1700264,"3,152",24.6,"55,33,60,461","75,237","1,50,87,583",76,"14,71,27,840","6,39,927","37,610","1,00,73,149","14,59,30,628","51,22,88,842",55,"1,08,789",74,7,"6,441",31,"27,29,25,839","84,295",,"11,08,981",,0
WUSYANAME,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,USQX92102132,"3,146",24.6,"33,17,49,982","1,09,121","1,42,28,243",68,"3,80,53,954","9,97,774",48,"7,903","93,000","1,16,85,109",47,"15,960",,12,"1,34,768",15,"26,18,696","3,789",,"4,48,025",,1
Bodak Black,Young Sunny Boy 2,Young Sunny Boy,01-06-2023,QZSYP2279666,"3,133",24.6,"2,974",2,"1,913",,"32,10,63,828","21,31,997",,,,"52,40,59,745",,,,,,,,,,5,,1
Heartbroken (feat. Jessie Murph & Polo G),Heartbroken (feat. Jessie Murph & Polo G),Diplo,7/21/2023,USSM12305095,"3,150",24.6,"9,06,19,651","18,945","76,33,545",64,"2,26,82,156","2,38,539","22,483","11,49,772","1,71,65,352","8,35,45,500",16,"18,337",25,14,"59,319",9,"2,72,52,931","5,898","12,68,849",,,0
Snow On The Beach (feat. Lana Del Rey),Midnights,Taylor Swift,10/21/2022,USUG12205737,"3,139",24.6,"42,99,10,250","32,432","1,84,17,473",64,"6,05,31,630","10,25,941","4,00,127","4,95,55,205","38,02,93,826","2,52,572",55,"1,208",5,7,"54,434",22,"85,06,964","5,296",,"4,26,764",,1
Dura,Dura,Daddy Yankee,1/18/2018,US2BU1700200,"3,165",24.5,"65,95,55,409","71,359","2,12,83,146",65,"15,62,99,320","8,84,906","29,63,016","3,97,32,422","49,35,91,477","14,57,649",66,"20,978",113,48,"3,31,916",47,"15,04,80,566","1,06,663",,"41,87,626",,0
Lo Que Tiene,Lo Que Tiene,Morad,03-08-2024,QM4TX2442925,"3,170",24.5,"5,26,02,574","6,219","1,85,44,682",75,"1,74,82,603","1,46,275",,,,"2,88,55,469",7,"1,125",,3,"5,10,028",9,,,,,,0
What If I Told You That I Love You,What If I Told You That I Love You,Ali Gatie,1/24/2020,USWB12000024,"3,157",24.5,"39,78,93,665","79,817","1,18,81,352",58,"29,02,77,607","39,08,510","5,72,066","7,65,46,154","50,92,42,456","5,22,47,367",44,"18,338",182,43,"1,93,489",3,"3,58,32,502","23,552",,"27,77,595",,0
Bent,Bent,41,08-04-2023,USUG12306666,"3,169",24.5,"10,48,97,425","27,545","2,03,50,869",64,"1,33,79,053","1,49,424",,,,,14,"11,802",246,1,223,,"11,00,545","1,464",,"6,16,738",,1
Linda Guajira,"Essential Classics, Vol. 143: Mongo Santamaria",Mongo Santamaria,06-06-2024,ES31E2305760,"3,547",24.5,"1,07,47,498",1,31,,,,,,,,,,,,,,,,,,,0
All Out Of Fight,TRUSTFALL (Tour Deluxe Edition),P!nk,11/30/2023,USRC12302242,"3,177",24.5,"3,18,09,079","3,576","1,89,76,367",,"1,09,88,995","1,45,198",,,,"1,74,22,01,888",11,"48,195",,22,"1,26,69,277",30,"1,85,54,159","1,667",,"7,22,562",,0
2 Balas,2 Balas,Roylimar y Royerlin,03-08-2024,QZHN32468120,"3,159",24.5,"8,53,397",26,"1,657",,"4,18,48,181","4,93,092","94,800","50,45,789","9,48,88,400",,,,,,,,,,,"3,223",,0
Stop Giving Me Advice (with Jack Harlow & Dave),Stop Giving Me Advice,Lyrical Lemonade,12-08-2023,USUG12303143,"3,167",24.5,"3,33,19,902","18,834","53,50,015",,"1,07,89,548","3,08,054",,,,"10,99,63,841",12,"3,195",1,21,"3,72,611",12,"59,449",57,"1,02,685","1,37,951",,1
Rich Nigga Shit (feat. Young Thug),SAVAGE MODE II,21 Savage,10-02-2020,USSM12005348,"3,166",24.5,"43,33,09,786","1,37,820","1,51,90,372",73,"3,52,85,134","5,12,311","8,562","82,29,618","5,94,08,058",,17,390,,11,"25,578",,"88,68,498","5,343",,,,1
What Would Pluto Do,For All The Dogs,Drake,10-06-2023,USUG12306080,"3,175",24.5,"5,92,62,518","22,927","29,72,767",,"1,07,06,220","1,08,566",64,"3,544","88,944","5,45,064",3,215,37,1,,,"1,85,55,902","1,636",,"1,24,136",,1
So Far Away,So Far Away,Down Time,7/22/2022,QZK6L2235624,"3,158",24.5,"29,375",43,"3,952",1,"41,07,77,646","40,11,926",,,,"52,318",,2,,,,,,,,,,0
Fake Love,Crowd Pleasers,Drake,1/27/2017,USCM51700084,"3,161",24.5,"96,78,26,246","87,948","1,96,54,087",65,"5,64,82,887","5,60,879","12,35,154","71,19,625","4,14,23,093","2,925",121,5,73,9,"1,37,517",10,"43,98,00,476","3,22,434",,"30,95,923",,1
Hijo Mio,Hijo Mio - Single,Misael De La Rosa,4/20/2022,QZHZ42274754,"3,163",24.5,"16,12,356",389,"51,178",31,"18,05,510","42,902","28,00,000","1,07,41,378","26,77,88,636",,,8,,,,,,,,"58,027",,0
Car Keys (Ayla),Car Keys (Ayla),Alok,6/30/2023,DEE862300929,"3,176",24.5,"10,75,92,134","16,131","6,09,84,755",69,"88,21,525","79,472","3,436","4,43,734","1,65,62,873","16,83,14,959",37,"86,683","1,298",65,"12,99,042",50,"9,41,625",258,,"8,53,951",,0
MONTAGEM ANOS 2000,A.Mago - Playlist do Mago,DJ Arana,09-07-2023,BC3PG2306028,"3,172",24.5,"10,15,71,557","21,592","2,27,87,361",,"3,68,30,690","3,90,578","62,700","2,04,13,997","25,45,71,104",,11,,,20,"28,38,774",17,,,,"1,46,099",,1
Ai Preto,Ai Preto,L7NNON,06-03-2022,BR5TG2200019,"3,178",24.5,"21,97,56,697","31,819","1,25,04,632",60,"24,71,52,121","17,45,948",508,"6,297","1,49,298","17,52,72,203",22,103,,31,"3,53,396",8,,,"13,400","1,28,502",,0
2002,Speak Your Mind,Anne-Marie,01-01-2015,GBAHS1800094,"3,160",24.5,"1,53,14,90,541","1,15,663","3,12,87,443",73,"39,16,67,255","31,02,373","34,35,149","7,56,81,966","89,25,95,513",,93,"64,453",104,43,"4,24,600",39,"4,79,69,112","52,873",,"55,00,764",,0
We Don't Fight Anymore (feat. Chris Stapleton),We Don't Fight Anymore,Carly Pearce,6/16/2023,QZRD92302716,"3,171",24.5,"4,87,51,057","4,008","1,25,74,203",67,"1,05,91,144","1,07,010",,,,"26,69,24,717",14,"1,29,454",10,2,"81,390",51,"2,34,51,393","3,488",,"3,82,915",,0
Pï¿½ï¿½,Pï¿½ï¿½gate - Si,Standly,01-03-2022,US7VG2202994,"3,168",24.5,"24,12,91,389","32,449","52,76,793",67,"29,74,84,348","18,68,447","1,00,700","3,12,43,366","30,87,12,763","9,39,32,990",4,942,,2,"12,175",10,,,,"3,65,242",,0
Halfway To Hell,Whitsitt Chapel,Jelly Roll,06-02-2023,QMRSZ2300351,"3,164",24.5,"3,81,59,739","5,961","1,29,57,145",68,"1,11,85,849","1,40,706","37,324","10,18,503","1,61,69,973","3,42,09,101",,"98,724",123,4,"15,13,658",,"3,61,94,795","4,078","4,73,571",,,0
Ya Te Superï¿,Ya Te Superï¿½ï¿½ - Si,Xavi,5/18/2024,USA2P2428771,"3,174",24.5,"1,11,07,400",614,"3,54,59,248",,"1,08,55,044","2,27,373",,,,,5,,,3,"2,93,379",10,"3,19,500",77,,"41,829",,0
Dark Horse,PRISM,Katy Perry,01-01-2013,USUM71311296,"3,162",24.5,"1,44,59,50,326","1,85,843","5,92,42,561",74,"24,81,78,591","22,92,757","1,74,645","11,56,12,448","98,45,30,315",,102,"1,58,891",453,86,"6,00,026",31,,,"3,29,36,048","1,99,91,903",,0
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/16/2022,USAT22219268,"3,173",24.5,"66,51,45,968","5,887","9,61,483",46,,,,,,,18,"2,31,230",,,,,,,,,,0
Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo),Wallows,02-01-2019,USAT21812258,"3,186",24.4,"84,27,49,499","1,58,456","4,05,44,627",76,"12,56,41,322","22,66,385","1,21,465","6,19,35,130","34,20,62,376","4,25,838",68,"34,495",64,26,"1,68,949",17,"92,70,466","14,818",,"11,69,198",,0
YEAH RIGHT,Yeah Right,Joji,05-08-2018,USUYG1194991,"3,192",24.4,"70,75,51,397","1,48,441","2,03,64,177",21,"22,23,19,540","25,98,192","49,597","2,68,83,217","18,65,30,347","56,49,485",22,119,56,13,"11,220",14,"97,76,641","17,709","1,86,84,374","15,08,168",,1
Let You Love Me,Let You Love Me,Rita Ora,9/21/2018,GBAHS1800674,"3,183",24.4,"52,77,60,843","46,844","1,25,44,188",59,"68,43,08,632","31,87,514","5,67,303","3,25,41,583","36,73,25,979","46,48,69,129",64,"1,348",,38,"3,43,131",9,"2,19,77,587","9,351","17,09,056","52,78,882",,0
eternal sunshine,eternal sunshine,Ariana Grande,03-08-2024,USUM72317272,"3,189",24.4,"11,31,04,452","5,316","75,45,326",,"1,23,73,294","1,99,529",,,,"73,02,253",7,327,,4,"1,72,405",16,"8,83,643","1,252",,"56,914",,0
Por Primera Vez,Por Primera Vez,Camilo,03-09-2020,USSD12000019,"3,201",24.4,"29,71,50,374","25,519","59,27,417",62,"58,65,64,510","47,24,003","7,69,000","3,64,89,633","40,33,73,148","11,97,99,399",31,"11,895",45,22,"79,003",9,"78,12,570","2,062",,"3,92,074",,0
We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together,Taylor Swift,01-01-2012,USCJY1231018,"3,197",24.4,"66,98,95,431","82,898","3,06,60,565",67,"90,90,93,534","50,48,332","1,73,871","4,62,37,758","32,88,89,314","26,66,43,047",90,"29,308",290,26,"2,62,279",38,"39,64,81,900","6,60,092",,"45,65,091",,0
Soundgasm,Soundgasm,Rema,06-10-2021,NGA3B2114003,"3,195",24.4,"14,23,52,659","80,632","72,22,942",58,"10,58,33,149","8,19,235","46,229","1,18,21,844","12,98,97,849","1,95,42,904",96,"9,295",85,12,"1,52,415",4,"50,24,541","1,981","52,73,813","27,68,798",,1
WANDA,DONDE QUIERO ESTAR,Quevedo,1/20/2023,BK4DA2215298,"3,184",24.4,"30,69,52,759","43,759","1,28,14,377",68,"3,23,91,738","1,49,460","51,615","90,29,882","10,17,66,021","4,85,245",8,"3,480",322,5,"38,775",10,"8,08,749",171,,"3,20,412",,0
DARBA 9ADIYA,DARBA 9ADIYA,Moha K,4/28/2023,FR6F32300680,"3,196",24.4,"4,63,56,684","18,454","15,74,124",53,"7,45,48,185","4,62,187","3,90,100","6,91,63,531","1,42,98,81,947",,9,"1,667",,1,"62,559",1,2,,,"6,58,573",,0
EMPELOTICA,EMPELOTICA,Lenny Tavï¿½ï¿,2/22/2024,USWL12400540,"3,181",24.4,"6,83,49,764","7,210","3,10,14,133",8,"1,68,21,942","1,50,277","4,814","9,36,755","1,00,13,585","21,61,58,198",13,"1,143",,19,"17,42,799",11,"4,86,201",53,"11,448","1,34,177",,1
Le Va Doler,Le Va Doler,Grupo Frontera,5/25/2023,FRX762399738,"3,187",24.4,"12,95,73,063","9,240","33,80,877",63,"12,41,84,578","4,17,710","48,700","1,44,00,034","16,82,67,163","1,46,66,486",8,"1,653",,2,"26,463",6,"1,94,73,307","1,979",,"2,36,018",,0
Never Gonna Give You Up (2022 - Remaster),Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),Rick Astley,5/20/2022,GB5KW2103369,"3,199",24.4,"83,93,45,554",295,"20,447",23,,,,,,,13,,,1,2,,"5,19,64,993","2,84,214",,,,0
Million Dollar Baby,Million Dollar Baby,Ava Max,09-01-2022,USAT22206818,"3,198",24.4,"10,62,18,899","18,622","41,05,233",60,"5,43,71,720","5,27,297","9,975","24,63,185","4,49,40,300","4,46,94,803",39,"1,71,539",847,18,"12,66,461",9,"1,16,75,181","5,696",,"16,46,446",,0
should've wore a bonnet,should've wore a bonnet,21 Savage,01-10-2024,USSM12309170,"3,200",24.4,"5,13,65,907","12,559","68,17,443",,"1,06,73,012","1,28,410",,,,,14,"1,535",,7,"68,244",22,"59,79,536","1,938",,"1,84,130",,1
Low Down,My Turn (Deluxe),Lil Baby,2/28/2020,USUG12000088,"3,191",24.4,"24,12,93,946","87,019","1,39,19,499",70,"5,44,54,355","4,16,677","22,428","1,02,88,605","8,06,75,570",,29,,,3,"2,92,033",,"5,72,95,689","12,251","2,85,54,045","13,70,229",,1
No Money,No Money,Galantis,04-01-2016,USAT21600941,"3,194",24.4,"87,24,28,879","85,665","2,25,10,886",60,"11,47,82,349","11,25,843","65,10,484","2,95,90,117","23,99,61,275",,89,"18,644",21,61,"5,98,408",16,"4,01,66,835","65,776",,"2,66,187",,0
Oklahoma Smokeshow,Summertime Blues,Zach Bryan,7/15/2022,USWB12202706,"3,193",24.4,"28,34,06,755","35,672","36,44,016",77,"6,22,79,409","2,54,008","48,146","71,56,246","4,91,71,406","34,09,42,384",12,794,22,3,648,21,"4,27,07,006","22,346","36,72,155","3,63,648",,0
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Look At Me Now,Lil Wayne,02-01-2011,USJI11100017,"3,188",24.4,"42,00,74,095","84,668","2,16,13,334",65,"57,19,11,363","37,26,047","2,47,846","6,15,79,479","63,44,98,093","15,67,30,455",37,"18,186",,15,"2,17,652",17,"53,11,45,697","11,58,658",,"50,41,927",,1
Style,1989 (Deluxe),Taylor Swift,01-01-2014,USCJY1431319,"3,179",24.4,"1,21,69,66,135","92,577","3,02,52,887",74,"84,85,55,837","42,12,951","71,954","6,38,17,390","42,80,73,160","1,55,76,63,895",116,"18,666",117,12,"44,098",2,"38,83,38,220","1,36,828","4,48,643","68,44,702",,0
FEEL,Timeless,Davido,3/30/2023,GBARL2300319,"3,202",24.4,"6,51,74,919","13,131","79,05,515",64,"3,79,86,567","3,63,870","7,33,101","3,76,88,610","47,99,19,203","4,85,02,167",43,"7,196",34,7,"4,67,961",8,"11,88,467",363,"9,98,528","10,62,087",,0
Grenade,Massive R&B Spring 2011,Bruno Mars,01-01-2010,USAT21001883,"3,180",24.4,"1,31,35,45,266","1,93,103","6,53,82,148",73,"1,31,05,15,665","68,98,904","40,595","2,15,61,355","14,77,90,820","1,59,93,16,290",60,"2,26,445",257,44,"2,37,782",45,,,,"77,02,096",,0
Trust,Lost,Brent Faiyaz,10/19/2018,QM24S1837815,"3,185",24.4,"52,60,07,719","1,18,927","2,25,42,445",71,"12,36,95,264","12,02,616","1,95,703","9,98,36,883","70,51,48,582","55,71,744",27,85,,2,"28,067",7,"1,56,17,147","20,519","3,04,88,590","14,41,297",,1
Cï¿½ï¿½MO SE SIENTE - R,Como Se Siente (Remix),Jhay Cortez,05-09-2020,USUM72010288,"3,190",24.4,"70,56,72,746","84,469","3,33,71,478",70,"27,11,13,088","10,55,058","38,258","1,66,54,149","12,46,03,506","5,04,904",79,"4,564",20,35,"48,467",22,"6,67,31,877","7,395","72,533","6,33,497",,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY - Single,Lil Nas X,7/23/2021,USSM12104540,"3,182",24.4,"2,01,49,59,725","7,808","14,46,867",48,"8,52,54,240","9,10,332",,,,"1,641",56,"2,10,716",,,,2,,,,,,0
hakuna matata,One of Wun,Gunna,05-10-2024,USAT22403439,"3,212",24.3,"1,88,61,338","3,421","1,25,27,571",,"17,08,354","29,123",,,,"3,81,728",,1,3,,,,,,,,,1
Little Talks,Little Talks,Of Monsters and Men,01-01-2011,USUM71119106,"3,217",24.3,"1,05,06,76,021","2,22,725","5,30,15,020",75,"9,54,61,283","9,24,094","78,289","2,67,46,381","16,20,04,699","16,316",96,"1,17,045",,68,"4,65,267",43,"54,73,25,755","3,84,670","35,16,318","1,57,49,222",,0
Not Even Ghosts Are This Empty,I No Longer Fear The Razor Guarding My Heel (V) - Single,$uicideboy$,08-11-2023,QZAPK2000391,"3,216",24.3,"7,39,79,851","22,621","37,69,032",67,"5,07,47,796","6,93,723","3,709","6,75,392","33,52,332","41,64,938",,185,55,,,,"35,13,432","1,163",,"1,35,705",,1
Shadow,A Hometown Odyssey,Livingston,03-08-2024,QM24S2400575,"3,219",24.3,"3,43,43,044","5,156","77,88,420",,"1,17,78,991","2,85,840",,"4,28,800","61,00,000",,1,215,,,,20,"48,04,147","6,778",,"1,77,644",,0
Black Route - Kali Car,Black Route (Kali Car),Hassan Goldy,02-01-2023,FR2X42341769,"3,221",24.3,,101,650,19,,,"19,58,900","55,18,761","15,30,05,807",,,,,,,,,,,"7,458",,0
Aye (feat. Travis Scott),Pink Tape,Lil Uzi Vert,6/30/2023,USAT22306849,"3,204",24.3,"7,31,40,012","38,585","1,17,25,812",62,"46,45,872","99,384","20,079","93,96,584","7,57,70,759","16,17,89,590",30,"1,410",17,6,"91,343",4,"3,61,815",288,,"1,75,009",,1
"Perdï¿½ï¿½n, Per",Esto Sï¿½ï¿½ Es Cu,Los ï¿½ï¿½ngeles Az,06-08-2018,MX1721600897,"3,214",24.3,"6,17,04,511","4,273","30,30,216",53,"1,18,52,40,552","33,61,490",154,"22,976","4,02,111","1,92,56,962",,378,,1,"20,173",6,"2,69,21,535","3,376",,"1,19,855",,0
Love Tonight - Edit,Love Tonight,Shouse,12/14/2017,USQY51798087,"3,213",24.3,"45,01,02,131","1,76,711","2,73,62,214",65,,,"1,74,000","3,30,94,580","51,37,70,838",,68,"1,98,098",,48,"29,55,834",23,"1,99,734","1,050","2,18,47,523",,,0
